# Structural comparison of mn/userGuide.t2t against mn/userGuide-newRevisions/14866/userGuide.t2t
mn 15.8.2. start:2069 paragraphs:0, tables:1, lists:0
mn 15.8.3. start:2077 paragraphs:0, tables:1, lists:0
mn 15.9. start:2087 paragraphs:2, tables:1, lists:0
mn 15.10. start:2159 paragraphs:2, tables:1, lists:0
mn 15.11. start:2181 paragraphs:8, tables:3, lists:2
mn 15.12. start:2262 paragraphs:8, tables:4, lists:1
mn 15.13. start:2345 paragraphs:5, tables:1, lists:1
mn 15.14. start:2395 paragraphs:3, tables:1, lists:1
mn 15.15. start:2430 paragraphs:1, tables:1, lists:0
mn 15.16. start:2440 paragraphs:3, tables:1, lists:0
mn 15.17. start:2521 paragraphs:3, tables:1, lists:0
mn 16. start:2541 paragraphs:0, tables:0, lists:0
en 16. start:2720 paragraphs:1, tables:0, lists:0
mn 16.1. start:2543 paragraphs:6, tables:3, lists:0
mn 16.2. start:2587 paragraphs:2, tables:1, lists:1
mn 17. start:2599 paragraphs:1, tables:0, lists:0
# end of comparison
